range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed
61129, 2, 28842, 40768.9, 40, 15270, 20902.8, 2250, 2810, 1150
57656, 2, 28842, 40768.9, 2, 19492, 27500.8, 2250, 850, 950
57656, 2, 28842, 40768.9, 2, 18205, 25146.1, 2200, 870, 930
57656, 2, 28842, 40768.9, 2, 19588, 27639.4, 2330, 840, 930
57663, 2, 28842, 40768.9, 8, 12914.9, 18821.9, 2320, 1660, 1070
57656, 2, 28842, 40768.9, 2, 5549, 7133.29, 2200, 870, 940
62782, 2, 28842, 40768.9, 6, 17817.3, 26549.4, 2310, 1470, 980
57656, 2, 28842, 40768.9, 2, 8853, 12329.1, 2170, 850, 940
62463, 2, 28842, 40768.9, 2, 31323.5, 44057.7, 2260, 830, 940
57656, 2, 28842, 40768.9, 2, 7066, 9281.48, 2230, 850, 930
59056, 2, 28842, 40768.9, 2, 29787, 41412.4, 2210, 830, 940
63297, 2, 28842, 40768.9, 50, 15844.4, 22184.6, 2460, 3090, 1420
59916, 2, 28842, 40768.9, 32, 20159.9, 24427.6, 2300, 2310, 1000
64767, 2, 28842, 40768.9, 152, 16707.6, 21274, 2590, 6650, 970
65145, 2, 28842, 40768.9, 152, 16926.5, 21472.9, 2520, 6600, 940
57664, 2, 28842, 40768.9, 10, 7328.3, 10251.9, 2220, 1640, 1020
57656, 2, 28842, 40768.9, 2, 28627, 40145.3, 2120, 860, 939
58280, 2, 28842, 40768.9, 52, 13583.5, 18181.2, 2450, 3080, 1390
65444, 2, 28842, 40768.9, 376, 15393.5, 20841.6, 2400, 14929, 1270
57656, 2, 28842, 40768.9, 2, 19715.5, 27819.7, 2240, 870, 940
57656, 2, 28842, 40768.9, 2, 25992.5, 36691.1, 2130, 840, 930
64016, 2, 28842, 40768.9, 48, 19538.6, 24859.6, 2470, 2980, 1000
57656, 2, 28842, 40768.9, 14, 22447.1, 22772.7, 2350, 1700, 1070
57656, 2, 28842, 40768.9, 2, 2944.5, 3574.42, 2210, 870, 15640
57656, 2, 28842, 40768.9, 2, 24603, 34731.7, 2150, 850, 950
57656, 2, 28842, 40768.9, 2, 25876, 35823.4, 2280, 850, 930
57665, 2, 28842, 40768.9, 2, 24116, 34098.1, 2110, 870, 960
62803, 2, 28842, 40768.9, 12, 23992.4, 28915.4, 2320, 1720, 1020
65009, 2, 28842, 40768.9, 4, 28117.5, 33202.7, 2170, 1340, 970
57656, 2, 28842, 40768.9, 4, 13613.8, 19078.7, 2120, 1310, 970
57656, 2, 28842, 40768.9, 8, 26138.8, 27441.4, 2290, 1420, 1010
63502, 2, 28842, 40768.9, 8, 16757.4, 26418.2, 2270, 1530, 970
63204, 2, 28842, 40768.9, 10, 28085, 29750.7, 2290, 1590, 960
57656, 2, 28842, 40768.9, 4, 18266.5, 21143.2, 2160, 1300, 960
57656, 2, 28842, 40768.9, 2, 26942, 37397.5, 2170, 870, 940
57656, 2, 28842, 40768.9, 10, 11037.3, 15604.5, 2290, 1630, 1030
64985, 2, 28842, 40768.9, 134, 18069.7, 23894.1, 2330, 6010, 1040
57656, 2, 28842, 40768.9, 2, 24203, 33521.1, 2210, 850, 930
62342, 2, 28842, 40768.9, 165, 15772.3, 19433.2, 2470, 2690, 1320
57656, 2, 28842, 40768.9, 10, 6738.3, 7863.47, 2110, 1630, 1030
62543, 2, 28842, 40768.9, 14, 27301, 28592.5, 2220, 1760, 1010
57656, 2, 28842, 40768.9, 4, 4814.75, 5706.13, 2280, 1360, 960
57656, 2, 28842, 40768.9, 8, 20265.6, 21537.7, 2300, 1470, 1030
62355, 2, 28842, 40768.9, 98, 19656.7, 22936.5, 3710, 4880, 950
57656, 2, 28842, 40768.9, 2, 9608, 13524.1, 2190, 890, 930
57656, 2, 28842, 40768.9, 10, 11839.2, 12585.9, 2220, 1650, 1030
57663, 2, 28842, 40768.9, 8, 15565, 25981.7, 2150, 1640, 1050
57656, 2, 28842, 40768.9, 2, 22850, 32242.7, 2190, 870, 970
57656, 2, 28842, 40768.9, 2, 5142.5, 6562.66, 2260, 870, 950
62200, 2, 28842, 40768.9, 100, 16712, 23130, 2360, 4880, 1140
57656, 2, 28842, 40768.9, 2, 12095, 17035.6, 2280, 870, 930
57656, 2, 28842, 40768.9, 2, 23631, 33062.9, 2150, 870, 930
57656, 2, 28842, 40768.9, 2, 9323.5, 12471.2, 2290, 850, 930
60787, 2, 28842, 40768.9, 2, 30421.5, 42963.1, 2180, 860, 960
57656, 2, 28842, 40768.9, 2, 19431, 26937.9, 2110, 870, 940
64978, 2, 28842, 40768.9, 8, 18478.4, 24503.9, 2330, 1620, 960
60687, 2, 28842, 40768.9, 110, 19275.3, 23652.8, 2480, 5580, 960
57656, 2, 28842, 40768.9, 2, 22124, 31160.8, 2250, 850, 930
57656, 2, 28842, 40768.9, 8, 23647.2, 26339.2, 2290, 1480, 1020
57656, 2, 28842, 40768.9, 8, 11160.8, 19451.1, 2140, 1460, 1000
57656, 2, 28842, 40768.9, 2, 5764, 7437.35, 2250, 860, 940
57656, 2, 28842, 40768.9, 2, 21726.5, 30013.1, 2270, 860, 960
57656, 2, 28842, 40768.9, 2, 28348.5, 40018.7, 2100, 870, 930
57656, 2, 28842, 40768.9, 2, 9225.5, 12981.8, 2230, 860, 930
65521, 2, 28842, 40768.9, 58, 11433.4, 20328.5, 2430, 3450, 1430
57656, 2, 28842, 40768.9, 12, 15224.9, 19409.6, 2390, 1760, 1049
57656, 2, 28842, 40768.9, 6, 11455.7, 12981.6, 2350, 1450, 1000
